"Census","School Name","Category","Year Level","Students"
"06 August 2021","Caroline Chisholm School","Gov","Year 4","41"
"06 August 2021","Caroline Chisholm School","Gov","Year 3","37"
"06 August 2021","Caroline Chisholm School","Gov","Year 2","38"
"06 August 2021","Caroline Chisholm School","Gov","Year 10","80"
"06 August 2021","Caroline Chisholm School","Gov","Year 1","42"
"06 August 2021","Caroline Chisholm School","Gov","Preschool","30"
"06 August 2021","Chapman Primary School","Gov","Year 2","75"
"06 August 2021","Chapman Primary School","Gov","Year 6","74"
"06 August 2021","Chapman Primary School","Gov","Year 5","75"
"06 August 2021","Chapman Primary School","Gov","Year 4","74"
"06 August 2021","Chapman Primary School","Gov","Year 3","83"
"06 August 2021","Chapman Primary School","Gov","Kindergarten","76"
"06 August 2021","Chapman Primary School","Gov","Preschool","84"
"06 August 2021","Chapman Primary School","Gov","Year 1","81"
"06 August 2021","Charles Conder Primary School","Gov","Year 5","52"
"06 August 2021","Charles Conder Primary School","Gov","Year 6","54"
"06 August 2021","Charles Conder Primary School","Gov","Year 4","55"
"06 August 2021","Charles Conder Primary School","Gov","Year 3","75"
"06 August 2021","Charles Conder Primary School","Gov","Year 2","58"
"06 August 2021","Charles Conder Primary School","Gov","Year 1","79"
"06 August 2021","Charles Conder Primary School","Gov","Preschool","90"
"06 August 2021","Charles Conder Primary School","Gov","Kindergarten","67"
"06 August 2021","Charles Weston School","Gov","Preschool","87"
"06 August 2021","Charles Weston School","Gov","Year 2","89"
"06 August 2021","Charles Weston School","Gov","Year 3","70"
"06 August 2021","Charles Weston School","Gov","Year 4","64"
"06 August 2021","Charles Weston School","Gov","Year 5","45"
"06 August 2021","Charles Weston School","Gov","Year 6","60"
"06 August 2021","Charles Weston School","Gov","Kindergarten","73"
"06 August 2021","Charles Weston School","Gov","Year 1","88"
"06 August 2021","Charnwood-Dunlop School","Gov","Kindergarten","76"
"06 August 2021","Charnwood-Dunlop School","Gov","Year 6","50"
"06 August 2021","Charnwood-Dunlop School","Gov","Year 5","31"
"06 August 2021","Charnwood-Dunlop School","Gov","Year 4","46"
"06 August 2021","Charnwood-Dunlop School","Gov","Year 3","48"
"06 August 2021","Charnwood-Dunlop School","Gov","Year 1","64"
"06 August 2021","Charnwood-Dunlop School","Gov","Year 2","41"
"06 August 2021","Charnwood-Dunlop School","Gov","Preschool","78"
"06 August 2021","Cranleigh School","Gov","Year 1","13"
"06 August 2021","Cranleigh School","Gov","Year 6","10"
"06 August 2021","Cranleigh School","Gov","Year 2","9"
"06 August 2021","Cranleigh School","Gov","Year 5","14"
"06 August 2021","Cranleigh School","Gov","Year 4","8"
"06 August 2021","Cranleigh School","Gov","Year 3","9"
"06 August 2021","Cranleigh School","Gov","Preschool","15"
"06 August 2021","Cranleigh School","Gov","Kindergarten","13"
"06 August 2021","Curtin Primary School","Gov","Preschool","65"
"06 August 2021","Curtin Primary School","Gov","Year 6","76"
"06 August 2021","Curtin Primary School","Gov","Year 5","71"
"06 August 2021","Curtin Primary School","Gov","Year 4","75"
"06 August 2021","Curtin Primary School","Gov","Year 3","81"
"06 August 2021","Curtin Primary School","Gov","Year 2","60"
"06 August 2021","Curtin Primary School","Gov","Year 1","54"
"06 August 2021","Curtin Primary School","Gov","Kindergarten","61"
"06 August 2021","Dickson College","Gov","Year 9","2"
"06 August 2021","Dickson College","Gov","Year 8","6"
"06 August 2021","Dickson College","Gov","Year 7","5"
"06 August 2021","Dickson College","Gov","Year 12","355"
"06 August 2021","Dickson College","Gov","Year 11","361"
"06 August 2021","Dickson College","Gov","Year 10","4"
"06 August 2021","Duffy Primary School","Gov","Year 6","47"
"06 August 2021","Duffy Primary School","Gov","Year 5","46"
"06 August 2021","Duffy Primary School","Gov","Year 4","54"
"06 August 2021","Duffy Primary School","Gov","Year 3","61"
"06 August 2021","Duffy Primary School","Gov","Year 2","57"
"06 August 2021","Duffy Primary School","Gov","Year 1","62"
"06 August 2021","Duffy Primary School","Gov","Preschool","66"
"06 August 2021","Duffy Primary School","Gov","Kindergarten","46"
"06 August 2021","Erindale College","Gov","Year 12","269"
"06 August 2021","Erindale College","Gov","Year 11","267"
"06 August 2021","Erindale College","Gov","Year 10","62"
"06 August 2021","Evatt Primary School","Gov","Year 4","40"
"06 August 2021","Evatt Primary School","Gov","Year 6","43"
"06 August 2021","Evatt Primary School","Gov","Year 5","24"
"06 August 2021","Evatt Primary School","Gov","Year 3","46"
"06 August 2021","Evatt Primary School","Gov","Year 2","41"
"06 August 2021","Evatt Primary School","Gov","Year 1","51"
"06 August 2021","Evatt Primary School","Gov","Preschool","50"
"06 August 2021","Evatt Primary School","Gov","Kindergarten","37"
"06 August 2021","Evelyn Scott School","Gov","Year 5","16"
"06 August 2021","Evelyn Scott School","Gov","Year 4","14"
"06 August 2021","Evelyn Scott School","Gov","Year 3","17"
"06 August 2021","Evelyn Scott School","Gov","Year 2","23"
"06 August 2021","Evelyn Scott School","Gov","Year 1","33"
"06 August 2021","Evelyn Scott School","Gov","Preschool","67"
"06 August 2021","Evelyn Scott School","Gov","Kindergarten","36"
"06 August 2021","Fadden Primary School","Gov","Year 6","43"
"06 August 2021","Fadden Primary School","Gov","Year 5","30"
"06 August 2021","Fadden Primary School","Gov","Year 4","31"
"06 August 2021","Fadden Primary School","Gov","Year 3","33"
"06 August 2021","Fadden Primary School","Gov","Year 2","41"
"06 August 2021","Fadden Primary School","Gov","Year 1","41"
"06 August 2021","Fadden Primary School","Gov","Preschool","44"
"06 August 2021","Fadden Primary School","Gov","Kindergarten","44"
"06 August 2021","Farrer Primary School","Gov","Year 6","57"
"06 August 2021","Farrer Primary School","Gov","Year 5","43"
"06 August 2021","Farrer Primary School","Gov","Year 4","53"
"06 August 2021","Farrer Primary School","Gov","Year 3","50"
"06 August 2021","Farrer Primary School","Gov","Year 2","42"
"06 August 2021","Farrer Primary School","Gov","Year 1","46"
"06 August 2021","Farrer Primary School","Gov","Preschool","42"
"06 August 2021","Farrer Primary School","Gov","Kindergarten","36"
"06 August 2021","Florey Primary School","Gov","Year 6","63"
"06 August 2021","Florey Primary School","Gov","Year 5","58"
"06 August 2021","Florey Primary School","Gov","Year 4","57"
"06 August 2021","Florey Primary School","Gov","Year 3","52"
"06 August 2021","Florey Primary School","Gov","Year 2","56"
"06 August 2021","Florey Primary School","Gov","Year 1","59"
"06 August 2021","Florey Primary School","Gov","Preschool","85"
"06 August 2021","Florey Primary School","Gov","Kindergarten","70"
"06 August 2021","Forrest Primary School","Gov","Year 6","71"
"06 August 2021","Forrest Primary School","Gov","Year 5","76"
"06 August 2021","Forrest Primary School","Gov","Year 4","87"
"06 August 2021","Forrest Primary School","Gov","Year 3","89"
"06 August 2021","Forrest Primary School","Gov","Year 2","75"
"06 August 2021","Forrest Primary School","Gov","Year 1","68"
"06 August 2021","Forrest Primary School","Gov","Preschool","42"
"06 August 2021","Forrest Primary School","Gov","Kindergarten","62"
"06 August 2021","Franklin School","Gov","Year 5","34"
"06 August 2021","Franklin School","Gov","Year 4","44"
"06 August 2021","Franklin School","Gov","Year 3","49"
"06 August 2021","Franklin School","Gov","Year 2","62"
"06 August 2021","Franklin School","Gov","Year 1","74"
"06 August 2021","Franklin School","Gov","Preschool","123"
"06 August 2021","Franklin School","Gov","Kindergarten","90"
"06 August 2021","Fraser Primary School","Gov","Year 5","71"
"06 August 2021","Fraser Primary School","Gov","Year 6","68"
"06 August 2021","Fraser Primary School","Gov","Year 4","74"
"06 August 2021","Fraser Primary School","Gov","Year 3","81"
"06 August 2021","Fraser Primary School","Gov","Year 2","76"
"06 August 2021","Fraser Primary School","Gov","Year 1","81"
"06 August 2021","Fraser Primary School","Gov","Preschool","79"
"06 August 2021","Fraser Primary School","Gov","Kindergarten","72"
"06 August 2021","Garran Primary School","Gov","Year 5","85"
"06 August 2021","Garran Primary School","Gov","Year 4","90"
"06 August 2021","Garran Primary School","Gov","Year 3","84"
"06 August 2021","Garran Primary School","Gov","Year 2","90"
"06 August 2021","Garran Primary School","Gov","Year 1","83"
"06 August 2021","Garran Primary School","Gov","Year 6","102"
"06 August 2021","Garran Primary School","Gov","Preschool","44"
"06 August 2021","Garran Primary School","Gov","Kindergarten","68"
"06 August 2021","Gilmore Primary School","Gov","Year 6","15"
"06 August 2021","Gilmore Primary School","Gov","Year 5","17"
"06 August 2021","Gilmore Primary School","Gov","Year 4","11"
"06 August 2021","Gilmore Primary School","Gov","Year 3","25"
"06 August 2021","Gilmore Primary School","Gov","Year 2","12"
"06 August 2021","Gilmore Primary School","Gov","Year 1","26"
"06 August 2021","Gilmore Primary School","Gov","Preschool","18"
"06 August 2021","Gilmore Primary School","Gov","Kindergarten","19"
"06 August 2021","Giralang Primary School","Gov","Year 6","35"
"06 August 2021","Giralang Primary School","Gov","Year 5","43"
"06 August 2021","Giralang Primary School","Gov","Year 4","45"
"06 August 2021","Giralang Primary School","Gov","Year 3","36"
"06 August 2021","Giralang Primary School","Gov","Year 2","42"
"06 August 2021","Giralang Primary School","Gov","Year 1","51"
"06 August 2021","Giralang Primary School","Gov","Preschool","39"
"06 August 2021","Giralang Primary School","Gov","Kindergarten","45"
"06 August 2021","Gold Creek School","Gov","Year 9","144"
"06 August 2021","Gold Creek School","Gov","Year 8","144"
"06 August 2021","Gold Creek School","Gov","Year 7","133"
"06 August 2021","Gold Creek School","Gov","Year 6","74"
"06 August 2021","Gold Creek School","Gov","Year 5","72"
"06 August 2021","Gold Creek School","Gov","Year 4","81"
"06 August 2021","Gold Creek School","Gov","Year 3","84"
"06 August 2021","Gold Creek School","Gov","Year 2","86"
"06 August 2021","Gold Creek School","Gov","Year 10","141"
"06 August 2021","Gold Creek School","Gov","Year 1","93"
"06 August 2021","Gold Creek School","Gov","Preschool","118"
"06 August 2021","Gold Creek School","Gov","Kindergarten","93"
"06 August 2021","Gordon Primary School","Gov","Year 6","52"
"06 August 2021","Gordon Primary School","Gov","Year 5","66"
"06 August 2021","Gordon Primary School","Gov","Year 4","52"
"06 August 2021","Gordon Primary School","Gov","Year 3","63"
"06 August 2021","Gordon Primary School","Gov","Year 2","62"
"06 August 2021","Gordon Primary School","Gov","Year 1","63"
"06 August 2021","Gordon Primary School","Gov","Preschool","105"
"06 August 2021","Gordon Primary School","Gov","Kindergarten","77"
"06 August 2021","Gowrie Primary School","Gov","Year 1","45"
"06 August 2021","Gowrie Primary School","Gov","Year 6","45"
"06 August 2021","Gowrie Primary School","Gov","Year 5","41"
"06 August 2021","Gowrie Primary School","Gov","Year 4","52"
"06 August 2021","Gowrie Primary School","Gov","Year 3","41"
"06 August 2021","Gowrie Primary School","Gov","Year 2","42"
"06 August 2021","Gowrie Primary School","Gov","Preschool","34"
"06 August 2021","Gowrie Primary School","Gov","Kindergarten","36"
"06 August 2021","Gungahlin College","Gov","Year 12","532"
"06 August 2021","Gungahlin College","Gov","Year 11","550"
"06 August 2021","Gungahlin College","Gov","Year 10","23"
"06 August 2021","Harrison School","Gov","Year 9","162"
"06 August 2021","Harrison School","Gov","Year 8","149"
"06 August 2021","Harrison School","Gov","Year 7","169"
"06 August 2021","Harrison School","Gov","Year 6","187"
"06 August 2021","Harrison School","Gov","Year 5","163"
"06 August 2021","Harrison School","Gov","Year 4","151"
"06 August 2021","Harrison School","Gov","Year 3","166"
"06 August 2021","Harrison School","Gov","Year 2","164"
"06 August 2021","Harrison School","Gov","Year 10","155"
"06 August 2021","Harrison School","Gov","Year 1","163"
"06 August 2021","Harrison School","Gov","Preschool","133"
"06 August 2021","Harrison School","Gov","Kindergarten","152"
"06 August 2021","Hawker College","Gov","Year 12","217"
"06 August 2021","Hawker College","Gov","Year 11","292"
"06 August 2021","Hawker College","Gov","Mature","1"
"06 August 2021","Hawker Primary School","Gov","Year 6","54"
"06 August 2021","Hawker Primary School","Gov","Year 5","50"
"06 August 2021","Hawker Primary School","Gov","Year 4","55"
"06 August 2021","Hawker Primary School","Gov","Year 3","51"
"06 August 2021","Hawker Primary School","Gov","Year 2","42"
"06 August 2021","Hawker Primary School","Gov","Year 1","47"
"06 August 2021","Hawker Primary School","Gov","Preschool","43"
"06 August 2021","Hawker Primary School","Gov","Kindergarten","41"
"06 August 2021","Hughes Primary School","Gov","Kindergarten","60"
"06 August 2021","Hughes Primary School","Gov","Year 4","47"
"06 August 2021","Hughes Primary School","Gov","Year 6","69"
"06 August 2021","Hughes Primary School","Gov","Year 3","63"
"06 August 2021","Hughes Primary School","Gov","Year 5","59"
"06 August 2021","Hughes Primary School","Gov","Year 2","54"
"06 August 2021","Hughes Primary School","Gov","Year 1","60"
"06 August 2021","Hughes Primary School","Gov","Preschool","44"
"06 August 2021","Isabella Plains Early Childhood School","Gov","Year 1","36"
"06 August 2021","Isabella Plains Early Childhood School","Gov","Kindergarten","46"
"06 August 2021","Isabella Plains Early Childhood School","Gov","Year 2","24"
"06 August 2021","Isabella Plains Early Childhood School","Gov","Preschool","74"
"06 August 2021","Jervis Bay School","Gov","Kindergarten","7"
"06 August 2021","Jervis Bay School","Gov","Preschool","25"
"06 August 2021","Jervis Bay School","Gov","Year 1","7"
"06 August 2021","Jervis Bay School","Gov","Year 2","3"
"06 August 2021","Jervis Bay School","Gov","Year 3","4"
"06 August 2021","Jervis Bay School","Gov","Year 4","6"
"06 August 2021","Jervis Bay School","Gov","Year 5","5"
"06 August 2021","Jervis Bay School","Gov","Year 6","1"
"06 August 2021","Kaleen Primary School","Gov","Preschool","64"
"06 August 2021","Kaleen Primary School","Gov","Kindergarten","57"
"06 August 2021","Kaleen Primary School","Gov","Year 1","71"
"06 August 2021","Kaleen Primary School","Gov","Year 2","70"
"06 August 2021","Kaleen Primary School","Gov","Year 3","67"
"06 August 2021","Kaleen Primary School","Gov","Year 4","67"
"06 August 2021","Kaleen Primary School","Gov","Year 5","72"
"06 August 2021","Kaleen Primary School","Gov","Year 6","71"
"06 August 2021","Kingsford Smith School","Gov","Year 9","112"
"06 August 2021","Kingsford Smith School","Gov","Year 8","110"
"06 August 2021","Kingsford Smith School","Gov","Year 7","116"
"06 August 2021","Kingsford Smith School","Gov","Year 6","80"
"06 August 2021","Kingsford Smith School","Gov","Year 5","65"
"06 August 2021","Kingsford Smith School","Gov","Year 4","51"
"06 August 2021","Kingsford Smith School","Gov","Year 3","51"
"06 August 2021","Kingsford Smith School","Gov","Year 2","55"
"06 August 2021","Kingsford Smith School","Gov","Year 10","101"
"06 August 2021","Kingsford Smith School","Gov","Year 1","47"
"06 August 2021","Kingsford Smith School","Gov","Preschool","74"
"06 August 2021","Kingsford Smith School","Gov","Kindergarten","53"
"06 August 2021","Koori Preschool","Gov","Preschool","87"
"06 August 2021","Koori Preschool","Gov","Preschool","10"
"06 August 2021","Lake Tuggeranong College","Gov","Year 12","282"
"06 August 2021","Lake Tuggeranong College","Gov","Year 11","301"
"06 August 2021","Lanyon High School","Gov","Year 9","102"
"06 August 2021","Lanyon High School","Gov","Year 8","100"
"06 August 2021","Lanyon High School","Gov","Year 7","112"
"06 August 2021","Lanyon High School","Gov","Year 10","95"
"06 August 2021","Latham Primary School","Gov","Year 6","43"
"06 August 2021","Latham Primary School","Gov","Year 5","39"
"06 August 2021","Latham Primary School","Gov","Year 4","35"
"06 August 2021","Latham Primary School","Gov","Year 3","54"
"06 August 2021","Latham Primary School","Gov","Year 2","52"
"06 August 2021","Latham Primary School","Gov","Year 1","63"
"06 August 2021","Latham Primary School","Gov","Preschool","62"
"06 August 2021","Latham Primary School","Gov","Kindergarten","43"
"06 August 2021","Lyneham High School","Gov","Year 9","240"
"06 August 2021","Lyneham High School","Gov","Year 8","271"
"06 August 2021","Lyneham High School","Gov","Year 7","271"
"06 August 2021","Lyneham High School","Gov","Year 10","298"
"06 August 2021","Lyneham Primary School","Gov","Year 6","72"
"06 August 2021","Lyneham Primary School","Gov","Year 5","83"
"06 August 2021","Lyneham Primary School","Gov","Year 4","62"
"06 August 2021","Lyneham Primary School","Gov","Year 3","70"
"06 August 2021","Lyneham Primary School","Gov","Year 2","69"
"06 August 2021","Lyneham Primary School","Gov","Year 1","58"
"06 August 2021","Lyneham Primary School","Gov","Preschool","64"
"06 August 2021","Lyneham Primary School","Gov","Kindergarten","62"
"06 August 2021","Lyons Early Childhood School","Gov","Year 2","17"
"06 August 2021","Lyons Early Childhood School","Gov","Year 1","28"
"06 August 2021","Lyons Early Childhood School","Gov","Preschool","60"
"06 August 2021","Lyons Early Childhood School","Gov","Kindergarten","32"
"06 August 2021","Macgregor Primary School","Gov","Year 6","82"
"06 August 2021","Macgregor Primary School","Gov","Year 5","77"
"06 August 2021","Macgregor Primary School","Gov","Year 4","58"
"06 August 2021","Macgregor Primary School","Gov","Year 3","64"
"06 August 2021","Macgregor Primary School","Gov","Year 2","86"
"06 August 2021","Macgregor Primary School","Gov","Year 1","84"
"06 August 2021","Macgregor Primary School","Gov","Preschool","84"
"06 August 2021","Macgregor Primary School","Gov","Kindergarten","81"
"06 August 2021","Macquarie Primary School","Gov","Year 6","54"
"06 August 2021","Macquarie Primary School","Gov","Year 5","41"
"06 August 2021","Macquarie Primary School","Gov","Year 4","49"
"06 August 2021","Macquarie Primary School","Gov","Year 3","41"
"06 August 2021","Macquarie Primary School","Gov","Year 2","49"
"06 August 2021","Macquarie Primary School","Gov","Year 1","33"
"06 August 2021","Macquarie Primary School","Gov","Preschool","45"
"06 August 2021","Macquarie Primary School","Gov","Kindergarten","37"
"06 August 2021","Majura Primary School","Gov","Year 6","99"
"06 August 2021","Majura Primary School","Gov","Year 5","94"
"06 August 2021","Majura Primary School","Gov","Year 4","93"
"06 August 2021","Majura Primary School","Gov","Year 3","119"
"06 August 2021","Majura Primary School","Gov","Year 2","95"
"06 August 2021","Majura Primary School","Gov","Year 1","97"
"06 August 2021","Majura Primary School","Gov","Preschool","83"
"06 August 2021","Majura Primary School","Gov","Kindergarten","120"
"06 August 2021","Malkara School","Gov","Year 6","11"
"06 August 2021","Malkara School","Gov","Year 5","9"
"06 August 2021","Malkara School","Gov","Year 4","12"
"06 August 2021","Malkara School","Gov","Year 3","7"
"06 August 2021","Malkara School","Gov","Year 2","10"
"06 August 2021","Malkara School","Gov","Year 1","8"
"06 August 2021","Malkara School","Gov","Preschool","4"
"06 August 2021","Malkara School","Gov","Kindergarten","12"
"06 August 2021","Margaret Hendry School","Gov","Year 6","31"
"06 August 2021","Margaret Hendry School","Gov","Year 5","49"
"06 August 2021","Margaret Hendry School","Gov","Year 4","39"
"06 August 2021","Margaret Hendry School","Gov","Year 3","49"
"06 August 2021","Margaret Hendry School","Gov","Year 2","77"
"06 August 2021","Margaret Hendry School","Gov","Year 1","110"
"06 August 2021","Margaret Hendry School","Gov","Preschool","126"
"06 August 2021","Margaret Hendry School","Gov","Kindergarten","123"
"06 August 2021","Maribyrnong Primary School","Gov","Year 6","55"
"06 August 2021","Maribyrnong Primary School","Gov","Year 5","71"
"06 August 2021","Maribyrnong Primary School","Gov","Year 4","59"
"06 August 2021","Maribyrnong Primary School","Gov","Year 3","75"
"06 August 2021","Maribyrnong Primary School","Gov","Year 2","82"
"06 August 2021","Maribyrnong Primary School","Gov","Year 1","70"
"06 August 2021","Maribyrnong Primary School","Gov","Preschool","86"
"06 August 2021","Maribyrnong Primary School","Gov","Kindergarten","65"
"06 August 2021","Mawson Primary School","Gov","Year 6","38"
"06 August 2021","Mawson Primary School","Gov","Year 5","60"
"06 August 2021","Mawson Primary School","Gov","Year 4","59"
"06 August 2021","Mawson Primary School","Gov","Year 3","76"
"06 August 2021","Mawson Primary School","Gov","Year 2","71"
"06 August 2021","Mawson Primary School","Gov","Year 1","68"
"06 August 2021","Mawson Primary School","Gov","Preschool","82"
"06 August 2021","Mawson Primary School","Gov","Kindergarten","77"
"06 August 2021","Melba Copland Secondary School","Gov","Year 9","127"
"06 August 2021","Melba Copland Secondary School","Gov","Year 8","161"
"06 August 2021","Melba Copland Secondary School","Gov","Year 7","193"
"06 August 2021","Melba Copland Secondary School","Gov","Year 12","92"
"06 August 2021","Melba Copland Secondary School","Gov","Year 11","88"
"06 August 2021","Melba Copland Secondary School","Gov","Year 10","134"
"06 August 2021","Melrose High School","Gov","Year 9","200"
"06 August 2021","Melrose High School","Gov","Year 8","220"
"06 August 2021","Melrose High School","Gov","Year 7","210"
"06 August 2021","Melrose High School","Gov","Year 10","212"
"06 August 2021","Miles Franklin Primary School","Gov","Year 6","75"
"06 August 2021","Miles Franklin Primary School","Gov","Year 5","66"
"06 August 2021","Miles Franklin Primary School","Gov","Year 4","74"
"06 August 2021","Miles Franklin Primary School","Gov","Year 3","77"
"06 August 2021","Miles Franklin Primary School","Gov","Year 2","68"
"06 August 2021","Miles Franklin Primary School","Gov","Year 1","72"
"06 August 2021","Miles Franklin Primary School","Gov","Preschool","86"
"06 August 2021","Miles Franklin Primary School","Gov","Kindergarten","65"
"06 August 2021","Monash Primary School","Gov","Year 6","58"
"06 August 2021","Monash Primary School","Gov","Year 5","61"
"06 August 2021","Monash Primary School","Gov","Year 4","70"
"06 August 2021","Monash Primary School","Gov","Year 3","56"
"06 August 2021","Monash Primary School","Gov","Year 2","66"
"06 August 2021","Monash Primary School","Gov","Year 1","61"
"06 August 2021","Monash Primary School","Gov","Preschool","76"
"06 August 2021","Monash Primary School","Gov","Kindergarten","53"
"06 August 2021","Mount Rogers Primary School","Gov","Year 6","61"
"06 August 2021","Mount Rogers Primary School","Gov","Year 5","67"
"06 August 2021","Mount Rogers Primary School","Gov","Year 4","71"
"06 August 2021","Mount Rogers Primary School","Gov","Year 3","67"
"06 August 2021","Mount Rogers Primary School","Gov","Year 2","90"
"06 August 2021","Mount Rogers Primary School","Gov","Year 1","84"
"06 August 2021","Mount Rogers Primary School","Gov","Preschool","106"
"06 August 2021","Mount Rogers Primary School","Gov","Kindergarten","76"
"06 August 2021","Mount Stromlo High School","Gov","Year 9","208"
"06 August 2021","Mount Stromlo High School","Gov","Year 8","194"
"06 August 2021","Mount Stromlo High School","Gov","Year 7","233"
"06 August 2021","Mount Stromlo High School","Gov","Year 10","171"
"06 August 2021","Namadgi School","Gov","Year 9","71"
"06 August 2021","Namadgi School","Gov","Year 8","61"
"06 August 2021","Namadgi School","Gov","Year 7","62"
"06 August 2021","Namadgi School","Gov","Year 6","43"
"06 August 2021","Namadgi School","Gov","Year 5","51"
"06 August 2021","Namadgi School","Gov","Year 4","46"
"06 August 2021","Namadgi School","Gov","Year 3","52"
"06 August 2021","Namadgi School","Gov","Year 2","58"
"06 August 2021","Namadgi School","Gov","Year 10","82"
"06 August 2021","Namadgi School","Gov","Year 1","58"
"06 August 2021","Namadgi School","Gov","Preschool","64"
"06 August 2021","Namadgi School","Gov","Kindergarten","64"
"06 August 2021","Narrabundah College","Gov","Year 12","448"
"06 August 2021","Narrabundah College","Gov","Year 11","493"
"06 August 2021","Narrabundah Early Childhood School","Gov","Year 2","15"
"06 August 2021","Narrabundah Early Childhood School","Gov","Year 1","20"
"06 August 2021","Narrabundah Early Childhood School","Gov","Preschool","63"
"06 August 2021","Narrabundah Early Childhood School","Gov","Kindergarten","27"
"06 August 2021","Neville Bonner Primary School","Gov","Year 6","86"
"06 August 2021","Neville Bonner Primary School","Gov","Year 5","91"
"06 August 2021","Neville Bonner Primary School","Gov","Year 4","99"
"06 August 2021","Neville Bonner Primary School","Gov","Year 3","122"
"06 August 2021","Neville Bonner Primary School","Gov","Year 2","122"
"06 August 2021","Neville Bonner Primary School","Gov","Year 1","125"
"06 August 2021","Neville Bonner Primary School","Gov","Preschool","154"
"06 August 2021","Neville Bonner Primary School","Gov","Kindergarten","99"
"06 August 2021","Ngunnawal Primary School","Gov","Year 6","67"
"06 August 2021","Ngunnawal Primary School","Gov","Year 5","87"
"06 August 2021","Ngunnawal Primary School","Gov","Year 4","82"
"06 August 2021","Ngunnawal Primary School","Gov","Year 3","83"
"06 August 2021","Ngunnawal Primary School","Gov","Year 2","99"
"06 August 2021","Ngunnawal Primary School","Gov","Year 1","91"
"06 August 2021","Ngunnawal Primary School","Gov","Preschool","131"
"06 August 2021","Ngunnawal Primary School","Gov","Kindergarten","127"
"06 August 2021","North Ainslie Primary School","Gov","Preschool","85"
"06 August 2021","North Ainslie Primary School","Gov","Kindergarten","87"
"06 August 2021","North Ainslie Primary School","Gov","Year 1","97"
"06 August 2021","North Ainslie Primary School","Gov","Year 2","81"
"06 August 2021","North Ainslie Primary School","Gov","Year 3","102"
"06 August 2021","North Ainslie Primary School","Gov","Year 4","80"
"06 August 2021","North Ainslie Primary School","Gov","Year 5","97"
"06 August 2021","North Ainslie Primary School","Gov","Year 6","74"
"06 August 2021","O'Connor Cooperative School","Gov","Kindergarten","21"
"06 August 2021","O'Connor Cooperative School","Gov","Year 2","9"
"06 August 2021","O'Connor Cooperative School","Gov","Year 1","17"
"06 August 2021","O'Connor Cooperative School","Gov","Preschool","21"
"06 August 2021","Palmerston District Primary School","Gov","Year 3","96"
"06 August 2021","Palmerston District Primary School","Gov","Year 2","121"
"06 August 2021","Palmerston District Primary School","Gov","Year 1","129"
"06 August 2021","Palmerston District Primary School","Gov","Kindergarten","116"
"06 August 2021","Palmerston District Primary School","Gov","Preschool","131"
"06 August 2021","Palmerston District Primary School","Gov","Year 6","82"
"06 August 2021","Palmerston District Primary School","Gov","Year 5","93"
"06 August 2021","Palmerston District Primary School","Gov","Year 4","85"
"06 August 2021","Red Hill Primary School","Gov","Preschool","86"
"06 August 2021","Red Hill Primary School","Gov","Year 6","105"
"06 August 2021","Red Hill Primary School","Gov","Year 5","119"
"06 August 2021","Red Hill Primary School","Gov","Year 4","116"
"06 August 2021","Red Hill Primary School","Gov","Year 3","111"
"06 August 2021","Red Hill Primary School","Gov","Year 2","92"
"06 August 2021","Red Hill Primary School","Gov","Year 1","107"
"06 August 2021","Red Hill Primary School","Gov","Kindergarten","91"
"06 August 2021","Richardson Primary School","Gov","Preschool","41"
"06 August 2021","Richardson Primary School","Gov","Year 6","12"
"06 August 2021","Richardson Primary School","Gov","Year 5","17"
"06 August 2021","Richardson Primary School","Gov","Year 4","18"
"06 August 2021","Richardson Primary School","Gov","Year 3","26"
"06 August 2021","Richardson Primary School","Gov","Year 2","22"
"06 August 2021","Richardson Primary School","Gov","Year 1","16"
"06 August 2021","Richardson Primary School","Gov","Kindergarten","21"
"06 August 2021","Southern Cross Early Childhood School","Gov","Preschool","87"
"06 August 2021","Southern Cross Early Childhood School","Gov","Year 2","29"
"06 August 2021","Southern Cross Early Childhood School","Gov","Year 1","41"
"06 August 2021","Southern Cross Early Childhood School","Gov","Kindergarten","61"
"06 August 2021","Taylor Primary School","Gov","Preschool","43"
"06 August 2021","Taylor Primary School","Gov","Year 6","36"
"06 August 2021","Taylor Primary School","Gov","Year 5","47"
"06 August 2021","Taylor Primary School","Gov","Year 4","50"
"06 August 2021","Taylor Primary School","Gov","Year 3","47"
"06 August 2021","Taylor Primary School","Gov","Year 2","60"
"06 August 2021","Taylor Primary School","Gov","Year 1","45"
"06 August 2021","Taylor Primary School","Gov","Kindergarten","46"
"06 August 2021","Telopea Park School","Gov","Year 10","219"
"06 August 2021","Telopea Park School","Gov","Year 9","227"
"06 August 2021","Telopea Park School","Gov","Year 8","242"
"06 August 2021","Telopea Park School","Gov","Year 7","277"
"06 August 2021","Telopea Park School","Gov","Year 6","77"
"06 August 2021","Telopea Park School","Gov","Year 5","84"
"06 August 2021","Telopea Park School","Gov","Year 4","85"
"06 August 2021","Telopea Park School","Gov","Year 3","83"
"06 August 2021","Telopea Park School","Gov","Year 2","80"
"06 August 2021","Telopea Park School","Gov","Year 1","84"
"06 August 2021","Telopea Park School","Gov","Kindergarten","82"
"06 August 2021","The Canberra College","Gov","Mature","113"
"06 August 2021","The Canberra College","Gov","Year 12","475"
