"Census","School Name","Category","Year Level","Students"
"14 February 2025","Charnwood-Dunlop School","Gov","Preschool","59"
"14 February 2025","Charnwood-Dunlop School","Gov","Preschool","15"
"14 February 2025","Charnwood-Dunlop School","Gov","Year 6","40"
"14 February 2025","Charnwood-Dunlop School","Gov","Year 5","48"
"14 February 2025","Charnwood-Dunlop School","Gov","Year 4","47"
"14 February 2025","Charnwood-Dunlop School","Gov","Year 3","42"
"14 February 2025","Charnwood-Dunlop School","Gov","Year 2","39"
"14 February 2025","Charnwood-Dunlop School","Gov","Kindergarten","48"
"14 February 2025","Communities@Work Galilee School","Non Gov","Year 8","13"
"14 February 2025","Communities@Work Galilee School","Non Gov","Year 11","37"
"14 February 2025","Communities@Work Galilee School","Non Gov","Year 12","19"
"14 February 2025","Communities@Work Galilee School","Non Gov","Year 9","20"
"14 February 2025","Communities@Work Galilee School","Non Gov","Year 10","25"
"14 February 2025","Communities@Work Galilee School","Non Gov","Year 7","3"
"14 February 2025","Covenant Christian School","Non Gov","Year 7","34"
"14 February 2025","Covenant Christian School","Non Gov","Preschool","23"
"14 February 2025","Covenant Christian School","Non Gov","Kindergarten","26"
"14 February 2025","Covenant Christian School","Non Gov","Year 1","24"
"14 February 2025","Covenant Christian School","Non Gov","Year 2","23"
"14 February 2025","Covenant Christian School","Non Gov","Year 3","26"
"14 February 2025","Covenant Christian School","Non Gov","Year 4","28"
"14 February 2025","Covenant Christian School","Non Gov","Year 5","26"
"14 February 2025","Covenant Christian School","Non Gov","year 6","28"
"14 February 2025","Covenant Christian School","Non Gov","Year 8","43"
"14 February 2025","Covenant Christian School","Non Gov","Year 9","26"
"14 February 2025","Covenant Christian School","Non Gov","Year 10","37"
"14 February 2025","Cranleigh School","Gov","Kindergarten","9"
"14 February 2025","Cranleigh School","Gov","Year 6","8"
"14 February 2025","Cranleigh School","Gov","Year 5","12"
"14 February 2025","Cranleigh School","Gov","Year 4","13"
"14 February 2025","Cranleigh School","Gov","Year 3","23"
"14 February 2025","Cranleigh School","Gov","Year 2","19"
"14 February 2025","Cranleigh School","Gov","Year 1","11"
"14 February 2025","Curtin Primary School","Gov","Year 6","62"
"14 February 2025","Curtin Primary School","Gov","Preschool","56"
"14 February 2025","Curtin Primary School","Gov","Kindergarten","49"
"14 February 2025","Curtin Primary School","Gov","Year 1","45"
"14 February 2025","Curtin Primary School","Gov","Year 2","62"
"14 February 2025","Curtin Primary School","Gov","Year 3","59"
"14 February 2025","Curtin Primary School","Gov","Year 4","58"
"14 February 2025","Curtin Primary School","Gov","Year 5","60"
"14 February 2025","Daramalan College","Non Gov","Year 7","255"
