"School","SA1","No. of Students"
"Calwell Primary School","80107107309","13"
"Calwell Primary School","80107107304","19"
"Calwell Primary School","80107107307","22"
"Calwell Primary School","80107107311","23"
"Campbell High School","10102101130","5"
"Campbell High School","10102101131","5"
"Campbell High School","10102101135","5"
"Campbell High School","10102101142","5"
"Campbell High School","10102101216","5"
"Campbell High School","10102101222","5"
"Campbell High School","10106154208","5"
"Campbell High School","10106154230","5"
"Campbell High School","80105105002","5"
"Campbell High School","80105105102","5"
"Campbell High School","80105106114","5"
"Campbell High School","80105106119","5"
"Campbell High School","80105112701","5"
"Campbell High School","10102101101","6"
"Campbell High School","10102101103","6"
"Campbell High School","10102101126","6"
"Campbell High School","80105105006","6"
"Campbell High School","80105105008","6"
"Campbell High School","80105105014","6"
"Campbell High School","80105105017","6"
"Campbell High School","80105105111","6"
"Campbell High School","80105105507","6"
"Campbell High School","80105112501","6"
"Campbell High School","80105112702","6"
"Campbell High School","10102101102","7"
"Campbell High School","10102101125","7"
"Campbell High School","10106154205","7"
"Campbell High School","10102101107","8"
"Campbell High School","10102101139","8"
"Campbell High School","10102101146","8"
"Campbell High School","80105105007","8"
"Campbell High School","80105105605","8"
"Campbell High School","80105112401","8"
"Campbell High School","80105105011","9"
"Campbell High School","80105105602","9"
"Campbell High School","10102101132","10"
"Campbell High School","80105105012","10"
"Campbell High School","80105112405","10"
"Campbell High School","80105105604","11"
"Campbell High School","10102101145","12"
"Campbell High School","80105105005","12"
"Campbell High School","80105105601","12"
"Campbell High School","10102101152","14"
"Campbell High School","80105105001","15"
"Campbell High School","80105105013","15"
"Campbell High School","10106154213","16"
"Campbell Primary School","10102101211","5"
"Campbell Primary School","80105105013","5"
"Campbell Primary School","10102101002","6"
"Campbell Primary School","10102101203","6"
"Campbell Primary School","10102101221","6"
"Campbell Primary School","80103111401","8"
"Campbell Primary School","80105112407","9"
"Campbell Primary School","80105112402","12"
"Campbell Primary School","80105112404","14"
"Campbell Primary School","80105112401","19"
"Campbell Primary School","80105112406","21"
"Campbell Primary School","80105112405","23"
"Campbell Primary School","80105112403","27"
"Campbell Primary School","80105112501","44"
"Canberra High School","80101100202","5"
"Canberra High School","80101100312","5"
"Canberra High School","80101100403","5"
"Canberra High School","80101100612","5"
"Canberra High School","80101100623","5"
"Canberra High School","80101100704","5"
"Canberra High School","80101100807","5"
"Canberra High School","80101101303","5"
"Canberra High School","80101101701","5"
"Canberra High School","80101101902","5"
"Canberra High School","80101102304","5"
"Canberra High School","80101100504","6"
"Canberra High School","80101100508","6"
"Canberra High School","80101100812","6"
"Canberra High School","80101101304","6"
"Canberra High School","80101101702","6"
"Canberra High School","80101101918","6"
"Canberra High School","80101102005","6"
"Canberra High School","80101102503","6"
"Canberra High School","80101102601","6"
"Canberra High School","80101100106","7"
"Canberra High School","80101100304","7"
"Canberra High School","80101100707","7"
"Canberra High School","80101100712","7"
"Canberra High School","80101101704","7"
"Canberra High School","80101101706","7"
"Canberra High School","80101101907","7"
"Canberra High School","80101101913","7"
"Canberra High School","80101102001","7"
"Canberra High School","80101102607","7"
"Canberra High School","80101102007","8"
"Canberra High School","80101102603","8"
"Canberra High School","80101100102","9"
"Canberra High School","80101100103","9"
"Canberra High School","80101100803","9"
"Canberra High School","80101102004","9"
"Canberra High School","80101100201","10"
"Canberra High School","80101100502","10"
"Canberra High School","80101100503","10"
"Canberra High School","80101102002","10"
"Canberra High School","80101102604","10"
"Canberra High School","80101100105","11"
"Canberra High School","80101100211","11"
"Canberra High School","80101102006","11"
"Canberra High School","80101100208","12"
"Canberra High School","80101100507","12"
"Canberra High School","80101100509","12"
