"School","SA1","No. of Students"
"Miles Franklin Primary School","80101100905","6"
"Miles Franklin Primary School","80101100906","6"
"Miles Franklin Primary School","80101102102","6"
"Miles Franklin Primary School","80101102103","6"
"Miles Franklin Primary School","80101102506","6"
"Miles Franklin Primary School","10106154216","7"
"Miles Franklin Primary School","80101100713","7"
"Miles Franklin Primary School","80101102502","7"
"Miles Franklin Primary School","80101100406","8"
"Miles Franklin Primary School","80101100709","9"
"Miles Franklin Primary School","80101102207","9"
"Miles Franklin Primary School","80101102503","9"
"Miles Franklin Primary School","80101100710","10"
"Miles Franklin Primary School","80101100711","10"
"Miles Franklin Primary School","80101100708","11"
"Miles Franklin Primary School","80101102104","11"
"Miles Franklin Primary School","80101100712","12"
"Miles Franklin Primary School","80101100714","13"
"Miles Franklin Primary School","80101100702","14"
"Miles Franklin Primary School","80101100704","14"
"Miles Franklin Primary School","80101102101","14"
"Miles Franklin Primary School","80101100706","19"
"Miles Franklin Primary School","80101100705","20"
"Miles Franklin Primary School","80101100703","21"
"Miles Franklin Primary School","80101102105","21"
"Miles Franklin Primary School","80101100701","25"
"Miles Franklin Primary School","80101100707","41"
"Monash Primary School","80107108410","5"
"Monash Primary School","80107107108","7"
"Monash Primary School","80107108103","7"
"Monash Primary School","80107108602","7"
"Monash Primary School","80107108706","7"
"Monash Primary School","80107108104","8"
"Monash Primary School","80107108111","8"
"Monash Primary School","80107108413","8"
"Monash Primary School","80107108604","8"
"Monash Primary School","80107108407","9"
"Monash Primary School","80107108401","10"
"Monash Primary School","80107108109","12"
"Monash Primary School","80107108402","12"
"Monash Primary School","80107108405","12"
"Monash Primary School","80107108414","12"
"Monash Primary School","80107108418","12"
"Monash Primary School","80107108603","12"
"Monash Primary School","80107108408","13"
"Monash Primary School","80107108411","13"
"Monash Primary School","80107108404","15"
"Monash Primary School","80107108406","16"
"Monash Primary School","80107108412","17"
"Monash Primary School","80107108417","19"
"Monash Primary School","80107108403","21"
"Monash Primary School","80107108415","23"
"Mount Rogers Primary School","80101100606","5"
"Mount Rogers Primary School","80101100905","6"
"Mount Rogers Primary School","80101102208","7"
"Mount Rogers Primary School","80101100902","8"
"Mount Rogers Primary School","80101100404","9"
"Mount Rogers Primary School","80101102502","9"
"Mount Rogers Primary School","80101102505","13"
"Mount Rogers Primary School","80101100909","14"
"Mount Rogers Primary School","80101102202","14"
"Mount Rogers Primary School","80101100910","15"
"Mount Rogers Primary School","80101100903","16"
"Mount Rogers Primary School","80101102201","16"
"Mount Rogers Primary School","80101102503","16"
"Mount Rogers Primary School","80101102506","17"
"Mount Rogers Primary School","80101100901","18"
"Mount Rogers Primary School","80101100906","18"
"Mount Rogers Primary School","80101102504","18"
"Mount Rogers Primary School","80101102203","20"
"Mount Rogers Primary School","80101100907","22"
"Mount Rogers Primary School","80101102204","26"
"Mount Rogers Primary School","80101102206","30"
"Mount Rogers Primary School","80101102501","30"
"Mount Rogers Primary School","80101102205","33"
"Mount Rogers Primary School","80101102207","33"
"Namadgi School","10102101120","5"
"Namadgi School","80107108229","5"
"Namadgi School","80107108240","5"
"Namadgi School","80107109015","5"
"Namadgi School","80107107303","6"
"Namadgi School","80107108208","6"
"Namadgi School","80107108230","6"
"Namadgi School","80107108233","6"
"Namadgi School","80107108002","7"
"Namadgi School","80107108204","7"
"Namadgi School","80107108214","7"
"Namadgi School","80107108227","7"
"Namadgi School","80107108241","7"
"Namadgi School","80107108212","8"
"Namadgi School","80107108225","8"
"Namadgi School","80107108231","9"
"Namadgi School","80107108234","9"
"Namadgi School","80107108221","10"
"Namadgi School","80107107510","11"
"Namadgi School","80107108206","11"
"Namadgi School","80107108211","11"
"Namadgi School","80107108216","12"
"Namadgi School","80107108210","13"
"Namadgi School","80107108235","13"
"Namadgi School","80107108201","15"
"Namadgi School","80107108205","15"
"Namadgi School","80107108220","15"
"Namadgi School","80107108213","18"
"Namadgi School","80107108239","18"
"Namadgi School","80107108203","20"
"Namadgi School","80107108219","24"
"Namadgi School","80107108223","25"
"Namadgi School","80107108215","29"
"Namadgi School","80107108224","31"
"Namadgi School","80107108236","31"
"Namadgi School","80107108207","39"
"Narrabundah College","80106106403","5"
"Narrabundah College","80103111301","6"
"Narrabundah College","80106106208","6"
"Narrabundah College","80106106705","6"
"Narrabundah College","80106106909","6"
"Narrabundah College","80106106405","7"
"Narrabundah College","80106106701","7"
"Narrabundah College","80106106703","7"
"Narrabundah College","80106106717","7"
"Narrabundah College","80106106904","7"
"Narrabundah College","80106113103","7"
"Narrabundah College","80109110702","7"
"Narrabundah College","80106106301","8"
"Narrabundah College","80106106714","9"
"Narrabundah College","80106106707","10"
"Narrabundah College","80106106708","10"
"Narrabundah College","80106106709","10"
"Narrabundah College","80106106719","10"
"Narrabundah College","80106107008","10"
"Narrabundah College","80106106713","11"
"Narrabundah College","80106106903","11"
"Narrabundah College","80106106715","12"
"Narrabundah College","80106106706","13"
"Narrabundah College","80106106710","13"
"Narrabundah College","80106106905","13"
"Narrabundah College","80106106906","13"
"Narrabundah College","80106106712","16"
"Narrabundah College","80108109604","55"
"Narrabundah Early Childhood School","80106106714","5"
"Narrabundah Early Childhood School","80106106701","7"
"Narrabundah Early Childhood School","80106106705","7"
"Narrabundah Early Childhood School","80106106706","10"
"Narrabundah Early Childhood School","80106106704","13"
"Neville Bonner Primary School","80104103804","5"
"Neville Bonner Primary School","80104112004","5"
"Neville Bonner Primary School","80104103805","6"
"Neville Bonner Primary School","80104103807","7"
"Neville Bonner Primary School","80104103815","10"
"Neville Bonner Primary School","80104103809","12"
"Neville Bonner Primary School","80104103511","14"
"Neville Bonner Primary School","80104103812","20"
"Neville Bonner Primary School","80104103506","21"
"Neville Bonner Primary School","80104103508","23"
"Neville Bonner Primary School","80104103501","24"
"Neville Bonner Primary School","80104103514","27"
"Neville Bonner Primary School","80104103518","28"
"Neville Bonner Primary School","80104103519","28"
"Neville Bonner Primary School","80104103522","28"
"Neville Bonner Primary School","80104103513","29"
"Neville Bonner Primary School","80104103517","29"
"Neville Bonner Primary School","80104103520","30"
"Neville Bonner Primary School","80104103515","31"
"Neville Bonner Primary School","80104103505","34"
"Neville Bonner Primary School","80104103509","40"
"Neville Bonner Primary School","80104103510","42"
"Neville Bonner Primary School","80104103512","50"
"Neville Bonner Primary School","80104103516","56"
"Neville Bonner Primary School","80104103507","60"
"Ngunnawal Primary  School","80104103607","5"
"Ngunnawal Primary  School","80104103616","5"
"Ngunnawal Primary  School","80104104612","8"
"Ngunnawal Primary  School","80104103608","9"
"Ngunnawal Primary  School","80104104616","9"
"Ngunnawal Primary  School","80104104637","10"
"Ngunnawal Primary  School","80104104635","11"
"Ngunnawal Primary  School","80104104630","13"
"Ngunnawal Primary  School","80104104636","15"
"Ngunnawal Primary  School","80104104605","16"
"Ngunnawal Primary  School","80104104619","17"
"Ngunnawal Primary  School","80104104625","17"
"Ngunnawal Primary  School","80104104609","18"
"Ngunnawal Primary  School","80104104633","18"
"Ngunnawal Primary  School","80104104634","18"
"Ngunnawal Primary  School","80104104626","19"
"Ngunnawal Primary  School","80104104606","20"
"Ngunnawal Primary  School","80104104627","21"
"Ngunnawal Primary  School","80104104602","22"
"Ngunnawal Primary  School","80104104613","22"
"Ngunnawal Primary  School","80104104632","22"
"Ngunnawal Primary  School","80104104623","23"
"Ngunnawal Primary  School","80104104621","24"
"Ngunnawal Primary  School","80104104604","26"
"Ngunnawal Primary  School","80104104628","26"
"Ngunnawal Primary  School","80104104631","26"
"Ngunnawal Primary  School","80104104618","28"
"Ngunnawal Primary  School","80104104620","30"
"Ngunnawal Primary  School","80104104622","30"
"Ngunnawal Primary  School","80104104617","35"
"North Ainslie Primary School","80105105509","5"
"North Ainslie Primary School","80105105506","6"
"North Ainslie Primary School","80105105508","6"
"North Ainslie Primary School","80105105403","7"
"North Ainslie Primary School","80105105606","7"
"North Ainslie Primary School","80105105501","8"
"North Ainslie Primary School","80105105503","8"
"North Ainslie Primary School","80105105401","9"
"North Ainslie Primary School","80105105504","9"
"North Ainslie Primary School","80105105008","14"
"North Ainslie Primary School","80105105405","16"
"North Ainslie Primary School","80105105011","18"
"North Ainslie Primary School","80105105603","18"
"North Ainslie Primary School","80105105004","21"
"North Ainslie Primary School","80105105014","21"
"North Ainslie Primary School","80105105601","23"
"North Ainslie Primary School","80105105604","23"
"North Ainslie Primary School","80105105607","25"
"North Ainslie Primary School","80105105012","27"
"North Ainslie Primary School","80105105001","31"
"North Ainslie Primary School","80105105005","34"
"North Ainslie Primary School","80105105605","34"
"North Ainslie Primary School","80105105404","36"
"North Ainslie Primary School","80105105602","38"
"North Ainslie Primary School","80105105406","43"
"Red Hill Primary School","80103111302","5"
"Red Hill Primary School","80106106411","5"
"Red Hill Primary School","80106113107","5"
"Red Hill Primary School","80106106705","6"
"Red Hill Primary School","80106106706","6"
"Red Hill Primary School","80106113105","6"
"Red Hill Primary School","80106106407","7"
"Red Hill Primary School","80106106713","8"
"Red Hill Primary School","80106106715","8"
"Red Hill Primary School","80106113103","8"
"Red Hill Primary School","80106106717","9"
"Red Hill Primary School","80106106909","9"
"Red Hill Primary School","80106106402","10"
"Red Hill Primary School","80106106413","10"
"Red Hill Primary School","80106106415","10"
"Red Hill Primary School","80106106702","10"
"Red Hill Primary School","80106106703","10"
"Red Hill Primary School","80106106704","10"
"Red Hill Primary School","80106106416","12"
"Red Hill Primary School","80106106907","14"
"Red Hill Primary School","80106106707","15"
"Red Hill Primary School","80106106709","16"
"Red Hill Primary School","80106106701","17"
"Red Hill Primary School","80106106719","18"
"Red Hill Primary School","80106106901","19"
"Red Hill Primary School","80106106710","20"
"Red Hill Primary School","80106106903","20"
"Red Hill Primary School","80106106405","23"
"Red Hill Primary School","80106106708","26"
"Red Hill Primary School","80106106712","37"
"Red Hill Primary School","80106106905","38"
"Red Hill Primary School","80106106906","41"
"Southern Cross Early Childhood School","80101100612","5"
"Southern Cross Early Childhood School","80101101403","5"
"Southern Cross Early Childhood School","80101102406","6"
"Southern Cross Early Childhood School","80101102303","7"
"Southern Cross Early Childhood School","80101102403","8"
"Southern Cross Early Childhood School","80101102408","11"
"Southern Cross Early Childhood School","80101102402","17"
"Stromlo High School","80107108212","5"
"Stromlo High School","80107108213","5"
"Stromlo High School","80107108239","5"
"Stromlo High School","80108109405","5"
"Stromlo High School","80108109601","5"
"Stromlo High School","80108109703","5"
"Stromlo High School","80108109706","5"
"Stromlo High School","80108109802","5"
"Stromlo High School","80107108236","6"
"Stromlo High School","80108109202","6"
"Stromlo High School","80108109403","6"
"Stromlo High School","80108109406","6"
"Stromlo High School","80108109604","6"
"Stromlo High School","80108109701","6"
"Stromlo High School","80108109708","6"
"Stromlo High School","80108109807","6"
"Stromlo High School","80110113906","6"
"Stromlo High School","80107108220","7"
"Stromlo High School","80107108228","7"
"Stromlo High School","80108109105","7"
"Stromlo High School","80108109303","7"
"Stromlo High School","80108109506","7"
"Stromlo High School","80108109507","7"
"Stromlo High School","80108109814","7"
"Stromlo High School","80108109102","8"
"Stromlo High School","80108109108","8"
"Stromlo High School","80108109305","8"
"Stromlo High School","80108109508","8"
"Stromlo High School","80108109509","8"
"Stromlo High School","80108109602","8"
"Stromlo High School","80108109203","9"
"Stromlo High School","80108109208","9"
"Stromlo High School","80108109504","9"
"Stromlo High School","80108109812","9"
"Stromlo High School","80107108231","10"
"Stromlo High School","80107108235","10"
"Stromlo High School","80108109107","10"
"Stromlo High School","80108109201","10"
"Stromlo High School","80108109205","10"
"Stromlo High School","80108109206","10"
"Stromlo High School","80108109505","10"
"Stromlo High School","80108109702","10"
"Stromlo High School","80107108222","11"
"Stromlo High School","80108109707","11"
"Stromlo High School","80111114003","11"
"Stromlo High School","80108109304","12"
"Stromlo High School","80108109809","12"
"Stromlo High School","80108109306","14"
"Stromlo High School","80108109603","14"
"Stromlo High School","80108109605","14"
"Taylor Primary School","80107108216","5"
"Taylor Primary School","80107108203","6"
"Taylor Primary School","80107108210","6"
"Taylor Primary School","80107108220","7"
"Taylor Primary School","80107108201","8"
"Taylor Primary School","80107108213","8"
"Taylor Primary School","80107108228","8"
"Taylor Primary School","80107108207","9"
"Taylor Primary School","80107108217","9"
"Taylor Primary School","80107108224","9"
"Taylor Primary School","80107108211","10"
"Taylor Primary School","80107108212","10"
"Taylor Primary School","80107108219","10"
"Taylor Primary School","80107108234","10"
"Taylor Primary School","80107108225","11"
"Taylor Primary School","80107108229","11"
"Taylor Primary School","80107108227","12"
"Taylor Primary School","80107108226","14"
"Taylor Primary School","80107108236","15"
"Taylor Primary School","80107108235","16"
"Taylor Primary School","80107108231","17"
"Taylor Primary School","80107108222","20"
"Telopea Park School","10102101144","5"
"Telopea Park School","80103111301","5"
"Telopea Park School","80104104404","5"
"Telopea Park School","80106106202","5"
"Telopea Park School","80106106204","5"
"Telopea Park School","80106106206","5"
"Telopea Park School","80106106207","5"
"Telopea Park School","80106106304","5"
"Telopea Park School","80106106707","5"
"Telopea Park School","80108109604","5"
"Telopea Park School","80108109706","5"
"Telopea Park School","80109110007","5"
"Telopea Park School","80109110008","5"
"Telopea Park School","80109110502","5"
"Telopea Park School","80109110805","5"
"Telopea Park School","80110113902","5"
"Telopea Park School","80106106702","6"
"Telopea Park School","80106107005","6"
"Telopea Park School","80109110004","6"
"Telopea Park School","80109110506","6"
"Telopea Park School","80109110804","6"
"Telopea Park School","80106106303","7"
"Telopea Park School","80106106411","7"
"Telopea Park School","80107109016","7"
"Telopea Park School","80109110105","7"
"Telopea Park School","80109110204","7"
"Telopea Park School","80109110304","7"
"Telopea Park School","80110113504","7"
"Telopea Park School","80106106209","8"
"Telopea Park School","80106106410","8"
"Telopea Park School","80106106716","8"
"Telopea Park School","80106106907","8"
"Telopea Park School","80106113108","8"
"Telopea Park School","80108109405","8"
"Telopea Park School","80106106401","9"
"Telopea Park School","80106106403","9"
"Telopea Park School","80106106404","9"
"Telopea Park School","80106106415","9"
"Telopea Park School","80106106904","9"
"Telopea Park School","80106106909","9"
"Telopea Park School","80106112903","9"
"Telopea Park School","80106113102","9"
"Telopea Park School","80106106413","10"
"Telopea Park School","80106107008","10"
"Telopea Park School","80106113110","10"
"Telopea Park School","80109110012","10"
"Telopea Park School","80106106701","11"
"Telopea Park School","80106112901","11"
"Telopea Park School","80109110702","11"
"Telopea Park School","80106106709","12"
"Telopea Park School","80106106714","12"
"Telopea Park School","80106112902","12"
"Telopea Park School","80106113103","12"
"Telopea Park School","80106113105","12"
"Telopea Park School","80108109304","12"
"Telopea Park School","80106106713","13"
"Telopea Park School","80106106901","13"
"Telopea Park School","80106106416","14"
"Telopea Park School","80106106710","14"
"Telopea Park School","80106106704","15"
"Telopea Park School","80106106715","15"
"Telopea Park School","80106106703","17"
"Telopea Park School","80106106705","17"
"Telopea Park School","80106106717","17"
"Telopea Park School","80106106903","17"
"Telopea Park School","80106106706","18"
"Telopea Park School","80106106301","19"
"Telopea Park School","80106106402","19"
"Telopea Park School","80106106405","19"
"Telopea Park School","80106106719","19"
"Telopea Park School","80106106205","22"
"Telopea Park School","80106106708","23"
"Telopea Park School","80106106905","26"
"Telopea Park School","80106106712","28"
"Telopea Park School","80106106906","28"
"The Canberra College","10102101150","5"
"The Canberra College","80107107606","5"
"The Canberra College","80107108204","5"
"The Canberra College","80107108207","5"
"The Canberra College","80107108227","5"
"The Canberra College","80108109105","5"
"The Canberra College","80108109202","5"
"The Canberra College","80108109204","5"
"The Canberra College","80108109206","5"
"The Canberra College","80108109306","5"
"The Canberra College","80108109405","5"
"The Canberra College","80108109601","5"
"The Canberra College","80108109807","5"
"The Canberra College","80108109809","5"
"The Canberra College","80109109902","5"
"The Canberra College","80109110008","5"
"The Canberra College","80109110304","5"
"The Canberra College","80109110401","5"
"The Canberra College","80109110502","5"
"The Canberra College","80109110504","5"
"The Canberra College","80109110507","5"
"The Canberra College","80109110602","5"
"The Canberra College","80109110603","5"
"The Canberra College","80109110606","5"
"The Canberra College","80109110803","5"
"The Canberra College","80109110805","5"
"The Canberra College","80111114003","5"
"The Canberra College","80107108222","6"
"The Canberra College","80107108241","6"
"The Canberra College","80108109205","6"
"The Canberra College","80108109407","6"
"The Canberra College","80108109508","6"
"The Canberra College","80108109802","6"
"The Canberra College","80109109903","6"
"The Canberra College","80109109904","6"
"The Canberra College","80109109905","6"
"The Canberra College","80109110106","6"
"The Canberra College","80109110108","6"
"The Canberra College","80109110303","6"
"The Canberra College","80109110404","6"
"The Canberra College","80108109201","7"
"The Canberra College","80108109406","7"
"The Canberra College","80109109901","7"
"The Canberra College","80109110002","7"
"The Canberra College","80109110601","7"
"The Canberra College","80109110607","7"
"The Canberra College","80109111001","7"
"The Canberra College","80109110505","8"
"The Canberra College","80108109603","9"
"The Canberra College","80109110107","9"
"The Canberra College","80109110307","9"
"The Canberra College","80109110702","9"
"The Canberra College","80108109702","10"
"The Canberra College","80108109706","10"
"The Canberra College","80109110004","10"
"The Canberra College","80109111002","11"
"Theodore Primary School","80107107301","5"
"Theodore Primary School","80107107803","5"
"Theodore Primary School","80107107309","6"
"Theodore Primary School","80107108105","6"
"Theodore Primary School","80107108808","12"
"Theodore Primary School","80107108802","17"
"Theodore Primary School","80107108803","18"
"Theodore Primary School","80107108810","19"
"Theodore Primary School","80107108806","20"
"Theodore Primary School","80107108801","23"
"Theodore Primary School","80107108804","24"
"Theodore Primary School","80107108809","24"
"Theodore Primary School","80107108805","33"
"Theodore Primary School","80107108807","51"
"Torrens Primary School","80107108218","6"
"Torrens Primary School","80109110804","7"
"Torrens Primary School","80109110806","7"
"Torrens Primary School","80109110802","8"
"Torrens Primary School","80109111005","13"
"Torrens Primary School","80109109903","18"
"Torrens Primary School","80109109904","19"
"Torrens Primary School","80109110803","19"
"Torrens Primary School","80109110805","19"
"Torrens Primary School","80109111003","19"
"Torrens Primary School","80109109905","21"
"Torrens Primary School","80109109901","22"
"Torrens Primary School","80109109902","22"
"Torrens Primary School","80109111006","22"
"Torrens Primary School","80109110807","23"
"Torrens Primary School","80109111002","29"
"Torrens Primary School","80109111001","32"
"Torrens Primary School","80109111004","37"
"Turner School","80105104901","5"
"Turner School","80105105804","6"
"Turner School","80105105708","7"
"Turner School","80105106113","7"
"Turner School","80105106012","8"
"Turner School","80105105809","9"
"Turner School","80105105802","13"
"Turner School","80105105807","13"
"Turner School","80105106003","14"
"Turner School","80105106010","14"
"Turner School","80105106006","15"
"Turner School","80105105813","16"
"Turner School","80105105811","18"
"Turner School","80105105812","20"
"Turner School","80105106011","21"
"Turner School","80105105810","22"
"Turner School","80105106007","25"
"Turner School","80105106002","30"
"Turner School","80105105801","51"
"Wanniassa Hills Primary School","80107108209","5"
"Wanniassa Hills Primary School","80107108241","5"
"Wanniassa Hills Primary School","80107108601","5"
"Wanniassa Hills Primary School","80107108701","5"
"Wanniassa Hills Primary School","80107109006","6"
"Wanniassa Hills Primary School","80107109017","6"
"Wanniassa Hills Primary School","80107109007","8"
"Wanniassa Hills Primary School","80107109012","12"
"Wanniassa Hills Primary School","80107109003","14"
"Wanniassa Hills Primary School","80107109005","14"
"Wanniassa Hills Primary School","80107109013","16"
"Wanniassa Hills Primary School","80107109004","17"
"Wanniassa Hills Primary School","80107109011","18"
"Wanniassa Hills Primary School","80107109018","21"
"Wanniassa Hills Primary School","80107109010","22"
"Wanniassa Hills Primary School","80107109001","24"
"Wanniassa Hills Primary School","80107109019","27"
"Wanniassa Hills Primary School","80107109014","36"
"Wanniassa School","80107107108","5"
"Wanniassa School","80107108412","5"
"Wanniassa School","80107108605","5"
"Wanniassa School","80107109004","5"
"Wanniassa School","80109110506","5"
"Wanniassa School","80107108207","6"
"Wanniassa School","80107108002","7"
"Wanniassa School","80107108415","7"
"Wanniassa School","80107107412","8"
"Wanniassa School","80107108603","12"
"Wanniassa School","80107109011","12"
"Wanniassa School","80107109019","14"
"Wanniassa School","80107109008","17"
"Wanniassa School","80107109009","17"
"Wanniassa School","80107109016","17"
"Wanniassa School","80107109015","22"
"Wanniassa School","80107109005","23"
"Wanniassa School","80107109020","23"
"Wanniassa School","80107108601","24"
"Wanniassa School","80107109006","28"
"Weetangera Primary School","80101102406","5"
"Weetangera Primary School","80101101508","6"
"Weetangera Primary School","80101102302","6"
"Weetangera Primary School","80101102404","6"
"Weetangera Primary School","80101101404","7"
"Weetangera Primary School","80101102405","9"
"Weetangera Primary School","80101102408","9"
"Weetangera Primary School","80101102402","11"
"Weetangera Primary School","80101102304","13"
"Weetangera Primary School","80101102306","15"
"Weetangera Primary School","80101102305","17"
"Weetangera Primary School","80101102603","18"
"Weetangera Primary School","80101102301","19"
"Weetangera Primary School","80101102602","20"
"Weetangera Primary School","80101102303","21"
"Weetangera Primary School","80101102601","21"
"Weetangera Primary School","80101102605","27"
"Weetangera Primary School","80101102607","27"
"Weetangera Primary School","80101102604","34"
"Weetangera Primary School","80101102606","38"
"Yarralumla Primary School","80106106201","5"
"Yarralumla Primary School","80107108235","5"
"Yarralumla Primary School","80106107006","7"
"Yarralumla Primary School","80106106202","9"
"Yarralumla Primary School","80106107004","12"
"Yarralumla Primary School","80106107007","12"
"Yarralumla Primary School","80106107008","13"
"Yarralumla Primary School","80106106204","16"
"Yarralumla Primary School","80106107002","16"
"Yarralumla Primary School","80106107001","19"
"Yarralumla Primary School","80106107003","21"
"Yarralumla Primary School","80106107005","22"
"Richardson Primary School","80107108706","9"
"Palmerston District Primary School","80104104809","19"
"University of Canberra Senior Secondary College Lake Ginninderra","80101101619","5"
"Palmerston District Primary School","80104103711","14"
"University of Canberra Senior Secondary College Lake Ginninderra","80101102502","5"
"University of Canberra Senior Secondary College Lake Ginninderra","80101101002","5"
"Charles Weston School ","80110113902","9"
"O'Connor Cooperative School","80105105801","10"
"Richardson Primary School","80107107406","7"
"Palmerston District Primary School","80104104813","26"
"Palmerston District Primary School","80104104019","7"
"Palmerston District Primary School","80104104801","16"
"Isabella Plains Early Childhood School","80107108103","13"
"Richardson Primary School","80107108703","19"
"Palmerston District Primary School","80104103708","18"
"Palmerston District Primary School","80104103927","5"
"University of Canberra Senior Secondary College Lake Ginninderra","80101101109","5"
"University of Canberra Senior Secondary College Lake Ginninderra","80101101907","5"
"University of Canberra Senior Secondary College Lake Ginninderra","80101102506","6"
"Charles Weston School ","80110113906","26"
"Isabella Plains Early Childhood School","80107108108","11"
"Palmerston District Primary School","80104103713","13"
"Palmerston District Primary School","80104104601","7"
"University of Canberra Senior Secondary College Lake Ginninderra","80101101509","5"
"Isabella Plains Early Childhood School","80107108111","6"
"Palmerston District Primary School","80104103702","13"
"Palmerston District Primary School","80104104708","12"
"University of Canberra Senior Secondary College Lake Ginninderra","80101102503","5"
"University of Canberra High School Kaleen","80101101613","10"
"Charles Weston School ","80110113905","7"
"University of Canberra Senior Secondary College Lake Ginninderra","80101100811","6"
"University of Canberra High School Kaleen","80101101612","9"
"Palmerston District Primary School","80104103710","18"
"University of Canberra High School Kaleen","80101101619","5"
"University of Canberra High School Kaleen","80101101606","12"
"Charles Weston School ","80110113503","56"
"University of Canberra High School Kaleen","80101101611","7"
"University of Canberra Senior Secondary College Lake Ginninderra","80101100201","5"
"Charles Weston School ","80110113907","11"
"Palmerston District Primary School","80104104808","15"
"Palmerston District Primary School","80104104709","7"
"O'Connor Cooperative School","80105105812","6"
"University of Canberra Senior Secondary College Lake Ginninderra","80101102103","5"
"Richardson Primary School","80107108702","6"
"Richardson Primary School","80107108705","28"
"University of Canberra High School Kaleen","80101101101","8"
"University of Canberra Senior Secondary College Lake Ginninderra","80101100711","8"
"Palmerston District Primary School","80104103704","12"
"University of Canberra Senior Secondary College Lake Ginninderra","80101100712","7"
"Palmerston District Primary School","80104104803","11"
"Isabella Plains Early Childhood School","80107108112","9"
"University of Canberra High School Kaleen","80101101109","5"
"University of Canberra Senior Secondary College Lake Ginninderra","80101101101","8"
"Isabella Plains Early Childhood School","80107108101","11"
"Charles Weston School ","80110113501","29"
"Palmerston District Primary School","80104104811","18"
"Charles Weston School ","80110113504","30"
"University of Canberra Senior Secondary College Lake Ginninderra","80101102206","5"
"University of Canberra High School Kaleen","80101101609","7"
"University of Canberra Senior Secondary College Lake Ginninderra","80101100702","5"
"University of Canberra Senior Secondary College Lake Ginninderra","80101102105","10"
"Palmerston District Primary School","80104104802","31"
"Palmerston District Primary School","80104104805","30"
"Palmerston District Primary School","80104104812","30"
"University of Canberra Senior Secondary College Lake Ginninderra","80101100611","6"
"Palmerston District Primary School","80104103707","11"
"Isabella Plains Early Childhood School","80107108105","12"
"Charles Weston School ","80110113502","21"
"University of Canberra High School Kaleen","80101101103","8"
"Palmerston District Primary School","80104104804","29"
"Palmerston District Primary School","80104104814","28"
"O'Connor Cooperative School","80105105807","5"
"Isabella Plains Early Childhood School","80107108107","11"
"Richardson Primary School","80107108707","8"
"University of Canberra Senior Secondary College Lake Ginninderra","80101101103","5"
"Palmerston District Primary School","80104103714","12"
"University of Canberra Senior Secondary College Lake Ginninderra","80101101608","8"
"Richardson Primary School","80107108701","21"
"University of Canberra Senior Secondary College Lake Ginninderra","80101100304","7"
"Richardson Primary School","80107107412","6"
"Palmerston District Primary School","80104103703","20"
"Palmerston District Primary School","80104104810","19"
"Richardson Primary School","80107108704","13"
"Palmerston District Primary School","80104104807","19"
"University of Canberra High School Kaleen","80101100712","5"
"Palmerston District Primary School","80104103706","12"
"University of Canberra Senior Secondary College Lake Ginninderra","80101100802","5"
"Charles Weston School ","80110113908","19"
"Palmerston District Primary School","80104104806","9"
